District,Code,InDistrict_Exp,InDistrict_FTE,InDistrict_PerPupil,Total_Exp,Total_FTE,Total_PerPupil
Abby Kelley Foster Charter Public (District),4450000,24231438.78,1415.8,17114.65,24231438.78,1415.8,17114.65
Abington,10000,35603421.16,2143.5,16609.95,41098932.87,2297.3,17890.1
Academy Of the Pacific Rim Charter Public (District),4120000,12801946.92,467.4,27392.63,12801946.92,467.4,27392.63
Acton-Boxborough,6000000,100564755.4,5181.7,19407.68,109746603.2,5302.1,20698.7
Acushnet,30000,14679700.0,965.8,15199.52,18752410.8,1254.7,14945.73
Advanced Math and Science Academy Charter (District),4300000,15065009.41,964.3,15623.23,15065009.41,964.3,15623.23
Agawam,50000,71958484.59,3524.8,20414.91,78821069.71,3700.6,21299.54
Alma del Mar Charter School (District),4090000,17354710.0,1034.5,16776.1,17354710.0,1034.5,16776.1
Amesbury,70000,39966168.64,1789.1,22338.7,45461590.81,1981.4,22944.18
Amherst,80000,30039874.0,1062.1,28283.47,32556546.52,1191.1,27333.18
Amherst-Pelham,6050000,32489016.0,1241.1,26177.6,37562376.22,1390.9,27005.81
Andover,90000,120895506.4,5569.1,21708.27,128212610.9,5663.7,22637.61
Argosy Collegiate Charter School (District),35090000,10104246.97,546.6,18485.63,10104246.97,546.6,18485.63
Arlington,100000,113165838.5,6019.7,18799.25,119119025.9,6117.7,19471.21
Ashburnham-Westminster,6100000,35763196.29,2252.5,15877.11,38700936.81,2350.7,16463.58
Ashland,140000,46927293.37,2889.7,16239.5,51197608.86,2950.1,17354.53
Assabet Valley Regional Vocational Technical,8010000,29035656.09,1092.2,26584.56,29178846.47,1092.8,26700.99
Athol-Royalston,6150000,28132998.0,1569.9,17920.25,32176065.18,1842.7,17461.37
Atlantis Charter (District),4910000,20454702.0,1288.4,15876.67,20454702.0,1288.4,15876.67
Attleboro,160000,99575309.06,5912.2,16842.34,109262216.0,6313.2,17306.95
Auburn,170000,42145085.14,2554.4,16499.02,43641167.09,2601.7,16774.1
Avon,180000,13866502.0,727.5,19060.48,15048069.59,767.8,19598.94
Ayer Shirley School District,6160000,32042979.18,1641.4,19521.74,37038728.96,1885.5,19643.98
Barnstable,200000,101740367.2,4840.8,21017.26,113238824.1,5454.1,20762.15
Bedford,230000,54877288.97,2537.2,21629.07,60293724.87,2578.2,23385.98
Belchertown,240000,36583711.03,2116.2,17287.45,40320664.25,2308.7,17464.66
Bellingham,250000,41192824.0,2016.2,20430.92,49328287.0,2344.4,21040.9
Belmont,260000,75491668.0,4375.5,17253.27,88463818.86,4557.3,19411.45
Benjamin Banneker Charter Public (District),4200000,7700725.33,330.1,23329.17,7700725.33,330.1,23329.17
Benjamin Franklin Classical Charter Public (District),4470000,13531717.0,863.4,15672.23,13531717.0,863.4,15672.23
Berkley,270000,12730800.0,855.9,14874.17,13108535.45,869.7,15072.48
Berkshire Arts and Technology Charter Public (District),4140000,7852224.31,363.3,21611.82,7852224.31,363.3,21611.82
Berkshire Hills,6180000,34179282.77,1175.3,29081.33,37147351.59,1278.9,29046.33
Berlin-Boylston,6200000,19046800.04,1055.7,18041.87,21188906.04,1121.7,18889.99
Beverly,300000,79686437.94,4619.7,17249.27,88951266.84,4800.5,18529.58
Billerica,310000,92887337.25,4872.0,19065.55,103126447.6,5092.8,20249.46
Blackstone Valley Regional Vocational Technical,8050000,29250651.53,1225.1,23876.13,29262101.53,1227.4,23840.72
Blackstone-Millville,6220000,27378402.0,1452.1,18854.35,30799636.78,1642.7,18749.4
Blue Hills Regional Vocational Technical,8060000,24093331.62,895.0,26919.92,24101256.62,896.2,26892.72
Boston,350000,1567511179.0,47235.6,33184.95,1937971768.0,60784.2,31882.82
Boston Collegiate Charter (District),4490000,15537960.08,697.1,22289.75,15537960.08,697.1,22289.75
Boston Day and Evening Academy Charter (District),4240000,9926653.93,323.7,30662.39,9926653.93,323.7,30662.39
Boston Green Academy Horace Mann Charter School (District),4110000,11738816.83,455.0,25800.62,11738816.83,455.0,25800.62
Boston Preparatory Charter Public (District),4160000,17794102.46,702.3,25338.34,17794102.46,702.3,25338.34
Boston Renaissance Charter Public (District),4810000,20366481.0,933.0,21829.49,20366481.0,933.0,21829.49
Bourne,360000,36814366.35,1570.6,23439.68,41985614.17,1839.8,22820.75
Boxford,380000,14852107.0,748.1,19853.1,16024010.0,761.6,21039.93
Braintree,400000,95374622.81,5376.6,17738.84,104947957.1,5509.7,19047.85
Brewster,410000,11645394.16,434.0,26832.71,11908591.99,449.5,26492.97
Bridge Boston Charter School (District),4170000,9930429.0,334.1,29722.03,9930429.0,334.1,29722.03
Bridgewater-Raynham,6250000,86171313.54,5508.8,15642.48,92970693.73,5766.6,16122.27
Brimfield,430000,5033462.0,287.4,17513.79,5687372.0,302.5,18801.23
Bristol County Agricultural,9100000,13119525.04,543.5,24138.96,13119525.04,543.5,24138.96
Bristol-Plymouth Regional Vocational Technical,8100000,31146256.0,1281.5,24304.53,31243119.0,1298.7,24057.23
Brockton,440000,332314545.4,14968.4,22201.07,383644586.1,16968.7,22608.96
Brooke Charter School (District),4280000,45784254.72,2227.8,20550.96,45784254.72,2227.8,20550.96
Brookfield,450000,4543455.61,291.1,15607.89,5265536.91,306.5,17179.57
Brookline,460000,181518442.9,7049.6,25748.76,189035177.3,7125.8,26528.27
Burlington,480000,84095781.0,3427.7,24534.17,94758336.84,3537.0,26790.6
Cambridge,490000,245188021.0,6664.7,36789.06,283427553.5,7279.9,38932.89
Canton,500000,64098168.42,3208.4,19978.23,71910639.59,3304.2,21763.4
Cape Cod Lighthouse Charter (District),4320000,4365296.0,249.1,17523.57,4365296.0,249.1,17523.57
Cape Cod Regional Vocational Technical,8150000,17692581.0,645.7,27400.62,17706181.0,648.4,27307.5
Carlisle,510000,14135496.07,602.9,23445.84,14824037.0,610.9,24265.9
Carver,520000,28592383.0,1545.0,18506.4,31681779.0,1646.0,19247.74
Central Berkshire,6350000,29640152.0,1559.8,19002.53,32666791.6,1772.9,18425.63
Chelmsford,560000,85554333.0,5059.8,16908.64,94061841.13,5283.2,17803.95
Chelsea,570000,123941591.3,6192.9,20013.5,158605269.4,7297.8,21733.3
Chesterfield-Goshen,6320000,2788871.0,149.5,18654.66,2956724.7,160.6,18410.49
Chicopee,610000,146379254.7,6740.5,21716.38,157477977.1,7464.6,21096.64
Christa McAuliffe Charter School (District),4180000,6658555.0,326.9,20370.65,6658555.0,326.9,20370.65
City on a Hill Charter Public School (District),4370000,6539220.58,193.1,33867.93,6539220.58,193.1,33867.93
Clarksburg,630000,3147511.62,191.7,16418.94,4041847.83,235.6,17155.55
Clinton,640000,34391165.0,1952.1,17617.52,40612074.27,2209.9,18377.34
Codman Academy Charter Public (District),4380000,11613416.06,337.7,34392.8,11613416.06,337.7,34392.8
Cohasset,650000,30687285.18,1405.9,21827.5,33377108.74,1437.9,23212.4
Collegiate Charter School of Lowell (District),35030000,15183096.45,1191.3,12744.87,15183096.45,1191.3,12744.87
Community Charter School of Cambridge (District),4360000,7291944.39,256.5,28430.85,7291944.39,256.5,28430.85
Community Day Charter Public School (District),4400000,22776949.0,1198.3,19008.51,22776949.0,1198.3,19008.51
Concord,670000,49316160.55,1955.7,25216.63,51822716.72,1979.8,26175.73
Concord-Carlisle,6400000,31628236.0,1290.0,24518.01,35447824.97,1329.5,26662.52
Conservatory Lab Charter (District),4390000,10119690.13,438.7,23066.4,10119690.13,438.7,23066.4
Conway,680000,3691447.31,133.5,27651.29,3780735.82,146.1,25877.73
Danvers,710000,61693449.7,3238.1,19052.36,70384083.9,3384.2,20797.85
Dartmouth,720000,58452160.06,3389.2,17246.6,64512288.62,3512.8,18364.92
Dedham,730000,63891348.52,2562.6,24932.24,70422701.82,2638.2,26693.47
Deerfield,740000,7119784.75,332.1,21438.68,7680891.92,380.0,20212.87
Dennis-Yarmouth,6450000,67341712.24,2854.6,23590.59,77846781.66,3404.9,22863.16
Dighton-Rehoboth,6500000,48847062.45,2567.6,19024.41,51801496.94,2653.5,19521.95
Douglas,770000,20474815.97,1159.3,17661.36,23608928.0,1248.9,18903.78
Dover,780000,11159930.0,511.4,21822.31,13011784.0,516.8,25177.6
Dover-Sherborn,6550000,27384335.71,1142.5,23968.78,28643894.79,1175.8,24361.2
Dracut,790000,52270307.9,3612.3,14470.09,60519145.3,3995.5,15146.83
Dudley Street Neighborhood Charter School (District),4070000,6339222.83,276.0,22965.86,6339222.83,276.0,22965.86
Dudley-Charlton Reg,6580000,55062642.62,3471.2,15862.71,59347514.73,3567.6,16635.14
Duxbury,820000,53801304.24,2789.1,19289.84,56464737.76,2840.8,19876.35
East Bridgewater,830000,33379798.0,2050.9,16275.68,36179329.74,2148.4,16840.13
East Longmeadow,870000,46216297.0,2556.0,18081.49,50593936.47,2635.1,19200.01
Eastham,850000,5354850.35,192.6,27802.96,5562334.79,213.3,26077.52
Easthampton,860000,24076653.32,1415.9,17004.49,30095166.53,1722.0,17476.87
Easton,880000,56054982.16,3412.8,16424.92,60289596.21,3500.6,17222.65
Edgartown,890000,12261518.2,418.5,29298.73,13169946.0,459.6,28655.23
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),4520000,13418341.0,371.1,36156.73,13418341.0,371.1,36156.73
Erving,910000,4083753.0,126.8,32206.25,5882735.82,215.0,27361.56
Essex North Shore Agricultural and Technical School District,8170000,37624696.94,1655.1,22732.58,38287169.08,1665.7,22985.63
Everett,930000,134645168.0,7365.0,18281.76,157579540.7,8216.3,19178.89
Excel Academy Charter (District),4100000,29770958.0,1366.5,21787.08,29770958.0,1366.5,21787.08
Fairhaven,940000,29462337.88,1830.5,16095.24,31951620.36,1903.2,16788.37
Fall River,950000,225485874.0,10566.1,21340.5,264229228.8,12605.4,20961.59
Falmouth,960000,72419665.86,2977.6,24321.49,78776647.46,3225.0,24426.87
Farmington River Reg,6620000,4381998.38,122.8,35684.03,5455197.61,243.7,22384.89
Fitchburg,970000,97352131.52,5135.7,18955.96,115226717.0,5904.3,19515.73
Florida,980000,1837875.75,90.3,20353.0,1954491.75,101.7,19218.21
Four Rivers Charter Public (District),4130000,4158035.0,217.0,19165.87,4158035.0,217.0,19165.87
Foxborough,990000,50761971.5,2467.0,20576.4,56408020.01,2617.1,21553.64
Foxborough Regional Charter (District),4460000,23813198.62,1556.7,15297.53,23813198.62,1556.7,15297.53
Framingham,1000000,213313549.0,9212.0,23156.05,242061528.3,9934.1,24366.73
Francis W. Parker Charter Essential (District),4780000,6948564.18,390.7,17783.54,6948564.18,390.7,17783.54
Franklin,1010000,82870518.09,4674.5,17728.21,98325312.53,5152.3,19083.77
Franklin County Regional Vocational Technical,8180000,16825623.55,571.2,29456.62,16831723.55,572.4,29405.53
Freetown-Lakeville,6650000,43208622.89,2753.0,15695.1,47437484.89,2871.5,16520.11
Frontier,6700000,12755631.01,594.8,21445.24,14557326.66,663.6,21936.9
Gardner,1030000,38872358.76,2392.5,16247.59,43851862.18,2618.2,16748.86
Gateway,6720000,18338360.9,786.1,23328.28,19920289.36,887.1,22455.52
Georgetown,1050000,22544082.49,1259.1,17904.92,25513733.64,1318.2,19354.98
Gill-Montague,6740000,21992248.4,866.7,25374.7,25590796.91,1137.8,22491.47
Global Learning Charter Public (District),4960000,8652095.0,499.3,17327.06,8652095.0,499.3,17327.06
Gloucester,1070000,60616478.96,2876.7,21071.53,68483052.61,3190.7,21463.33
Gosnold,1090000,,0.0,0.0,,0.0,0.0
Grafton,1100000,48561490.0,3100.4,15662.98,52995807.4,3195.4,16585.03
Granby,1110000,13158860.33,715.6,18388.57,14718343.22,794.6,18522.96
Greater Commonwealth Virtual District,39010000,13650268.47,1201.8,11358.19,13650268.47,1201.8,11358.19
Greater Fall River Regional Vocational Technical,8210000,36827587.0,1397.0,26361.91,36902453.32,1410.6,26160.82
Greater Lawrence Regional Vocational Technical,8230000,48737892.0,1684.6,28931.43,48782100.1,1688.8,28885.66
Greater Lowell Regional Vocational Technical,8280000,59149425.5,2262.0,26149.17,59248372.77,2280.2,25983.85
Greater New Bedford Regional Vocational Technical,8250000,59919716.87,2050.6,29220.58,59958610.23,2057.9,29135.82
Greenfield,1140000,31484991.13,1446.3,21769.34,39514778.24,1920.9,20570.97
Groton-Dunstable,6730000,46697910.0,2346.3,19902.79,50386316.37,2445.2,20606.21
Hadley,1170000,10371911.24,495.0,20953.36,12207365.3,602.8,20251.1
Halifax,1180000,7910508.66,563.2,14045.65,11159847.28,639.8,17442.71
Hamilton-Wenham,6750000,36229216.24,1651.5,21937.16,40754276.85,1717.8,23724.69
Hampden Charter School of Science East (District),4990000,9075636.33,543.3,16704.96,9075636.33,543.3,16704.96
Hampden Charter School of Science West (District),35160000,7274501.0,360.4,20182.84,7274501.0,360.4,20182.84
Hampden-Wilbraham,6800000,52417186.0,2880.4,18197.88,56222314.12,2978.5,18876.05
Hampshire,6830000,14287713.74,654.9,21816.63,16526209.75,754.6,21900.62
Hancock,1210000,1070356.28,59.9,17869.05,2032921.28,113.9,17848.3
Hanover,1220000,44601725.19,2598.1,17167.05,48656568.0,2675.8,18183.93
Harvard,1250000,22909950.01,1023.8,22377.37,26202222.01,1080.2,24256.82
Hatfield,1270000,7521780.22,349.4,21527.71,8942427.84,429.0,20844.82
Haverhill,1280000,149568555.4,7875.4,18991.87,167907470.6,8564.4,19605.28
Hawlemont,6850000,2790137.83,92.4,30196.3,3150488.56,132.0,23867.34
Helen Y. Davis Leadership Academy Charter Public (District),4190000,3929181.0,111.9,35107.05,3929181.0,111.9,35107.05
Hill View Montessori Charter Public (District),4550000,4996118.03,304.9,16383.94,4996118.03,304.9,16383.94
Hilltown Cooperative Charter Public (District),4500000,3594384.87,217.8,16505.42,3594384.87,217.8,16505.42
Hingham,1310000,75141934.14,3785.5,19849.94,80383049.07,3858.4,20833.26
Holbrook,1330000,22144938.91,1325.2,16710.64,25295840.04,1420.1,17812.72
Holland,1350000,3552868.0,228.9,15521.49,4251806.56,243.9,17432.58
Holliston,1360000,44578896.25,2785.5,16003.91,50579238.25,2889.1,17506.92
Holyoke,1370000,123455882.4,4953.4,24923.46,152405764.8,6246.1,24400.15
Holyoke Community Charter (District),4530000,12979467.0,685.8,18926.3,12979467.0,685.8,18926.3
Hoosac Valley Regional,6030000,20613324.11,1009.6,20417.32,22906627.82,1222.7,18734.46
Hopedale,1380000,19786726.5,1096.7,18042.06,21361045.08,1142.5,18696.76
Hopkinton,1390000,69449704.8,4191.1,16570.76,73749332.12,4245.4,17371.59
Hudson,1410000,51068061.2,2364.6,21596.91,59085130.77,2643.0,22355.33
Hull,1420000,22155434.07,767.5,28867.02,23848122.27,805.3,29613.96
Innovation Academy Charter (District),4350000,13183598.0,785.6,16781.78,13183598.0,785.6,16781.78
Ipswich,1440000,36122629.0,1609.6,22441.99,38120240.48,1662.8,22925.33
KIPP Academy Boston Charter School (District),4630000,16945663.53,579.5,29241.37,16945663.53,579.5,29241.37
KIPP Academy Lynn Charter (District),4290000,33410627.91,1612.6,20717.97,33410627.91,1612.6,20717.97
King Philip,6900000,37422330.85,1794.4,20855.07,44944928.19,1884.4,23851.06
Kingston,1450000,14863158.14,1251.7,11874.38,19590815.12,1298.8,15083.78
Lawrence,1490000,276298638.9,13231.3,20882.2,320652225.5,15358.4,20877.97
Lawrence Family Development Charter (District),4540000,12487679.51,856.8,14574.28,12487679.51,856.8,14574.28
Learning First Charter Public School (District),4860000,12058552.0,667.0,18079.33,12058552.0,667.0,18079.33
Lee,1500000,15037691.0,660.2,22777.48,16150823.27,776.8,20791.48
Leicester,1510000,22707633.0,1345.0,16883.0,27487465.66,1534.8,17909.48
Lenox,1520000,17824529.77,785.4,22694.84,18672511.2,834.9,22364.97
Leominster,1530000,102102789.4,5959.5,17132.78,112862997.1,6365.2,17731.26
Leverett,1540000,3057162.0,140.4,21774.66,3121480.81,147.4,21176.94
Lexington,1550000,163744260.5,6867.8,23842.32,175680888.3,6980.7,25166.66
Libertas Academy Charter School (District),35140000,7793951.65,418.1,18642.7,7793951.65,418.1,18642.7
Lincoln,1570000,30625140.13,1011.6,30273.96,33173289.97,1044.1,31772.14
Lincoln-Sudbury,6950000,33707892.0,1457.1,23133.55,39959889.76,1522.8,26241.06
Littleton,1580000,28958442.8,1691.1,17124.03,33053310.7,1793.5,18429.5
Longmeadow,1590000,47905735.27,2773.1,17275.16,51961692.51,2828.6,18370.11
Lowell,1600000,294491731.4,14252.9,20661.88,343896466.1,16780.6,20493.69
Lowell Community Charter Public (District),4560000,15511809.94,811.9,19105.1,15511809.94,811.9,19105.1
Lowell Middlesex Academy Charter (District),4580000,1549766.0,96.6,16044.79,1549766.0,96.6,16044.79
Ludlow,1610000,46166582.51,2299.9,20073.3,50877261.61,2429.3,20943.18
Lunenburg,1620000,27711810.32,1566.1,17694.79,29559471.89,1671.5,17684.4
Lynn,1630000,337174263.0,16064.7,20988.52,386367148.0,18328.2,21080.47
Lynnfield,1640000,40868232.9,2203.8,18544.44,43860760.06,2245.4,19533.61
Malden,1650000,116532628.0,6270.2,18585.15,136479919.2,7052.0,19353.36
Manchester Essex Regional,6980000,28383017.0,1207.6,23503.66,31163714.25,1242.0,25091.56
Mansfield,1670000,70066898.96,3442.8,20351.72,76024342.01,3559.6,21357.55
